Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-11-11,11855.0,11898.95,11651.0,11715.0,11740.0,653.0,76.8
2015-11-13,11916.0,11916.05,11225.0,11268.0,11282.3,24768.0,2828.55
2015-11-16,11280.0,11485.0,10763.6,10880.0,10871.5,20150.0,2191.44
2015-11-17,10900.0,10992.75,10730.0,10824.0,10811.3,8152.0,883.42
2015-11-18,10800.0,11099.95,10755.0,10826.0,10834.15,12030.0,1301.17
2015-11-19,10989.7,10989.7,10500.0,10826.4,10902.6,20349.0,2191.71
2015-11-20,10850.0,10950.0,10710.0,10900.0,10898.3,11009.0,1193.35
2015-11-23,10950.0,10979.95,10752.0,10901.0,10903.7,9932.0,1078.4
2015-11-24,10830.55,11177.95,10820.0,11150.0,11136.75,6493.0,720.93
2015-11-26,11298.85,11387.85,11160.0,11290.0,11299.0,18987.0,2145.18
2015-11-27,11460.0,11460.0,11163.05,11175.0,11249.2,16540.0,1863.02
2015-11-30,11349.95,11349.95,10922.7,11200.0,11107.25,32564.0,3613.31
2015-12-01,11238.95,11440.0,11070.0,11335.0,11355.6,11399.0,1278.48
2015-12-02,11389.0,11410.0,11160.05,11360.0,11303.95,4004.0,451.35
2015-12-03,11300.0,11400.0,11230.0,11300.0,11300.3,2455.0,277.65
2015-12-04,11150.0,11390.05,11004.5,11050.0,11145.1,7755.0,872.79
2015-12-07,11278.0,11280.0,11115.0,11275.0,11239.15,3371.0,378.17
2015-12-08,11265.05,11265.05,10799.95,10929.9,10933.25,5811.0,642.01
2015-12-09,10988.95,10989.75,10275.0,10500.0,10558.5,4778.0,506.82
2015-12-10,10689.7,10720.0,10300.0,10661.0,10649.4,19309.0,2045.86
2015-12-11,10650.0,10920.0,10450.65,10700.0,10707.65,14685.0,1576.21
2015-12-14,10800.0,10901.95,10600.0,10860.0,10857.85,5019.0,543.98
2015-12-15,10760.0,10900.0,10710.0,10740.0,10808.75,4754.0,515.71
2015-12-16,10899.0,10899.0,10785.0,10850.0,10851.0,2475.0,268.41
2015-12-17,10786.75,11229.25,10786.75,11150.0,11166.25,7845.0,863.35
2015-12-18,11249.95,11490.0,10805.0,10871.0,10975.4,17767.0,1963.69
2015-12-21,10975.4,11060.0,10820.0,10826.05,10905.25,4620.0,506.86
2015-12-22,10910.0,10980.0,10799.1,10849.85,10881.25,4329.0,471.4
2015-12-23,10914.65,10935.2,10864.95,10899.0,10900.9,7462.0,813.35
2015-12-24,10950.9,10979.95,10855.0,10870.0,10926.2,46062.0,5020.97
2015-12-28,10949.95,11125.0,10840.05,11055.55,11031.75,4030.0,441.84
2015-12-29,11034.15,11255.0,10987.0,11230.0,11203.8,2886.0,321.91
2015-12-30,11253.8,11390.0,11110.0,11247.9,11273.9,2867.0,322.92
